,ClassificationCode,EFMaleCount,EFFemaleCount,EFTotalCount,sector_cd,STUDENTAID_MEN,STUDENTAID_WOMEN,STUDENTAID_TOTAL,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,RECRUITEXP_TOTAL,HDCOACH_SALARY_MEN,HDCOACH_SALARY_WOMEN,NUM_HDCOACH_MEN,NUM_HDCOACH_WOMEN,HDCOACH_SAL_FTE_MEN,HDCOACH_SAL_FTE_WOMN,FTE_HDCOACH_MEN,FTE_HDCOACH_WOMEN,ASCOACH_SALARY_MEN,ASCOACH_SALARY_WOMEN,NUM_ASCOACH_MEN,NUM_ASCOACH_WOMEN,ASCOACH_SAL_FTE_MEN,ASCOACH_SAL_FTE_WOMN,FTE_ASCOACH_MEN,FTE_ASCOACH_WOMEN,IL_PARTIC_MEN,IL_PARTIC_WOMEN,IL_SUM_PARTIC_MEN,IL_SUM_PARTIC_WOMEN,IL_OPEXPPERPART_MEN,IL_OPEXPPERTEAM_MEN,IL_OPEXPPERPART_WOMEN,IL_OPEXPPERTEAM_WOMEN,IL_TOTAL_OPEXP_MENWOMEN,IL_SUM_OPEXPPERPART_MEN,IL_SUM_OPEXPPERTEAM_MEN,IL_SUM_OPEXPPERPART_WOMEN,IL_SUM_OPEXPPERTEAM_WOMEN,IL_MEN_FTHEADCOACH_MALE,IL_MEN_PTHEADCOACH_MALE,IL_MEN_FTUNIVEMPLOY_MALE,IL_MEN_PTUNIVEMPLOY_MALE,IL_MEN_FTHEADCOACH_FEM,IL_MEN_PTHEADCOACH_FEM,IL_MEN_FTUNIVEMPLOY_FEM,IL_MEN_PTUNIVEMPLOY_FEM,IL_MEN_TOTAL_HEADCOACH,IL_WOMEN_FTHDCOACH_MALE,IL_WOMEN_PTHDCOACH_MALE,IL_WOMEN_FTUNIVEMP_MALE,IL_WOMEN_PTUNIVEMP_MALE,IL_WOMEN_FTHDCOACH_FEM,IL_WOMEN_PTHDCOACH_FEM,IL_WOMEN_FTUNIVEMP_FEM,IL_WOMEN_PTUNIVEMP_FEM,IL_WOMEN_TOTAL_HDCOACH,IL_SUM_FTHDCOACH_MALE,IL_SUM_PTHDCOACH_MALE,IL_SUM_FTUNIVEMP_MALE,IL_SUM_PTUNIVEMP_MALE,IL_SUM_FTHDCOACH_FEM,IL_SUM_PTHDCOACH_FEM,IL_SUM_FTUNIVEMP_FEM,IL_SUM_PTUNIVEMP_FEM,IL_SUM_TOTAL_HDCOACH,IL_MEN_FTASCOACH_MALE,IL_MEN_PTASCOACH_MALE,IL_MEN_FTACUNIVEMP_MALE,IL_MEN_PTACUNIVEMP_MALE,IL_MEN_FTASSTCOACH_FEM,IL_MEN_PTASSTCOACH_FEM,IL_MEN_FTACUNIVEMP_FEM,IL_MEN_PTACUNIVEMP_FEM,IL_MEN_TOTAL_ASSTCOACH,IL_WOMEN_FTASCOACH_MALE,IL_WOMEN_PTASCOACH_MALE,IL_WOMEN_FTACUNEMP_MALE,IL_WOMEN_PTACUNEMP_MALE,IL_WOMEN_FTASTCOACH_FEM,IL_WOMEN_PTASTCOACH_FEM,IL_WOMN_FTACUNIVEMP_FEM,IL_WOMN_PTACUNIVEMP_FEM,IL_WOMEN_TOTAL_ASTCOACH,IL_SUM_FTASCOACH_MALE,IL_SUM_PTASCOACH_MALE,IL_SUM_FTACUNIVEMP_MALE,IL_SUM_PTACUNIVEMP_MALE,IL_SUM_FTASCOACH_FEM,IL_SUM_PTASCOACH_FEM,IL_SUM_FTACUNIVEMP_FEM,IL_SUM_PTACUNIVEMP_FEM,IL_SUM_TOTAL_ASSTCOACH,IL_REV_MEN,IL_REV_WOMEN,IL_TOTAL_REV_MENWOMEN,IL_REVENUE_MENALL,IL_REVENUE_WOMENALL,IL_TOTAL_REVENUE_ALL,IL_EXP_MEN,IL_EXP_WOMEN,IL_TOTAL_EXP_MENWOMEN,IL_EXPENSE_MENALL,IL_EXPENSE_WOMENALL,IL_TOTAL_EXPENSE_ALL,UNDUP_CT_PARTIC_MEN,UNDUP_CT_PARTIC_WOMEN,TOT_REVENUE_ALL_NOTALLOC,TOT_EXPENSE_ALL_NOTALLOC,GRND_TOTAL_REVENUE,GRND_TOTAL_EXPENSE,cluster,PC1,PC2,university
0,2,1801,2410,4211,1,2085307.0,1345159.0,3430466,61,39,53279.0,19429.0,72708,67604.0,39826.0,6.0,7.0,95441.0,53101.0,4.25,5.25,45223.0,22537.0,12.0,6.0,47189.0,30049.0,11.5,4.5,226.0,168.0,226,168,30920.0,1058206.0,35772.0,571331.0,1629537.0,30920,1058206,35772,571331,3.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,0.0,7.0,4,4,5,3,3,2,5,0,13,11.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,5.0,0.0,1.0,2.0,1.0,2.0,8.0,13,4,17,0,1,2,1,2,20,946611.0,1720874.0,2667485.0,946611,1720874,2667485,946611.0,1720874.0,2667485.0,946611,1720874,2667485,195,119,1975030,1975030,9333489,9333489,2,0.9792111337203766,-2.401520872306263,Alabama A & M University
1,1,3668,5273,8941,1,1745432.0,3223132.0,5059999,34,64,234170.0,211036.0,445206,164067.0,82901.0,5.0,9.0,164067.0,87778.0,5.0,8.5,78000.0,42507.0,9.0,14.0,82588.0,48579.0,8.5,12.25,95.0,197.0,99,206,84746.0,1324302.0,57623.0,1071908.0,2396210.0,87836,1336660,60713,1099714,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,0.0,4.0,0.0,4.0,0.0,9.0,9,1,10,0,5,0,5,0,15,8.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,3.0,1.0,8.0,2.0,8.0,2.0,14.0,10,3,11,2,8,2,8,2,23,3009310.0,5126977.0,8136287.0,3069166,5261654,8330820,3009065.0,5113183.0,8122248.0,3068488,5246885,8315373,99,173,15514800,15455096,28929743,28840003,1,7.839567074978198,-5.112775743476231,University of Alabama at Birmingham
2,5,3023,2215,5238,1,1603935.0,1483769.0,3087704,52,48,39756.0,11544.0,51300,67071.0,55258.0,7.0,7.0,78250.0,64468.0,6.0,6.0,39796.0,27029.0,10.0,7.0,53061.0,42045.0,7.5,4.5,259.0,191.0,259,191,29518.0,878894.0,19708.0,416364.0,1295258.0,29518,878894,19708,416364,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,7.0,7,4,11,0,3,0,3,0,14,6.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,3.0,7.0,6,3,6,3,2,6,5,3,17,2989458.0,2241903.0,5231361.0,2989458,2241903,5231361,2989458.0,2241903.0,5231361.0,2989458,2241903,5231361,205,147,1195576,1195576,7485073,7485073,2,2.190585687620909,-2.1631457295321286,University of Alabama in Huntsville
3,2,1646,2716,4362,1,2123402.0,1664251.0,3787653,56,44,121225.0,80600.0,201825,96711.0,52727.0,6.0,8.0,128948.0,64895.0,4.5,6.5,64859.0,36870.0,17.0,10.0,66824.0,38811.0,16.5,9.5,251.0,201.0,251,201,13728.0,371532.0,16630.0,278036.0,649568.0,13728,371532,16630,278036,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,5.0,0.0,3.0,0.0,3.0,0.0,8.0,5,6,11,0,3,0,3,0,14,16.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,10.0,20,2,22,0,5,0,5,0,27,1319095.0,2433797.0,3752892.0,1319095,2433797,3752892,1319095.0,2433797.0,3752892.0,1319095,2433797,3752892,206,152,1243188,1243188,9511504,9511504,2,3.521130234183763,-3.01354219810243,Alabama State University
4,1,13038,16033,29071,1,8602048.0,7285549.0,15887597,54,46,2105001.0,564781.0,2669782,2235296.0,200375.0,7.0,10.0,2607845.0,222639.0,6.0,9.0,354879.0,79344.0,26.0,24.0,439374.0,100224.0,21.0,19.0,362.0,423.0,362,423,246112.0,11581229.0,170211.0,4101307.0,15682536.0,246112,11581229,170211,4101307,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,7.0,0.0,3.0,0.0,3.0,0.0,10.0,10,4,14,0,3,0,3,0,17,16.0,9.0,25.0,0.0,0.0,1.0,1.0,0.0,26.0,8.0,9.0,17.0,0.0,6.0,1.0,7.0,0.0,24.0,24,18,42,0,6,2,8,0,50,2113599.0,7567308.0,9680907.0,2113599,7567308,9680907,10074583.0,16992816.0,27067399.0,10074583,16992816,27067399,295,336,40490252,40590929,174305613,143634940,4,31.258711785208558,-10.64294828045339,The University of Alabama
5,12,411,524,935,4,207959.0,171597.0,379556,55,45,0.0,0.0,0,38166.0,21863.0,2.0,2.0,50888.0,43726.0,1.5,1.0,15000.0,28423.0,1.0,1.0,30000.0,56846.0,0.5,0.5,44.0,32.0,44,32,7840.0,114377.0,4022.0,67181.0,181558.0,7840,114377,4022,67181,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,3,3,1,0,0,0,0,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,1,1,0,0,0,0,2,531433.0,351670.0,883103.0,531433,351670,883103,500960.0,348723.0,849683.0,500960,348723,849683,44,32,69305,45403,952408,895086,0,-5.877892498281683,-5.651806521158248,Central Alabama Community College
6,5,1085,2005,3090,1,825449.0,969662.0,1795111,46,54,5409.0,10285.0,15694,35558.0,32969.0,5.0,6.0,44448.0,39563.0,4.0,5.0,30000.0,30000.0,2.0,2.0,30000.0,30000.0,2.0,2.0,81.0,71.0,81,71,11434.0,166329.0,13887.0,158123.0,324452.0,11434,166329,13887,158123,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,6.0,6,4,10,0,1,0,1,0,11,2.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,2,5,2,5,2,3,2,3,12,924566.0,1100943.0,2025509.0,924566,1100943,2025509,924566.0,1100943.0,2025509.0,924566,1100943,2025509,81,71,746652,746652,3582496,3582496,2,-2.2835520742487527,-3.2758481472758056,Auburn University at Montgomery
7,1,10026,10234,20260,1,8719706.0,6936875.0,15656581,56,44,1537683.0,655133.0,2192816,1348294.0,267672.0,7.0,10.0,1567784.0,301432.0,6.02,8.88,345996.0,100379.0,26.0,25.0,448003.0,125978.0,20.08,19.92,306.0,285.0,306,285,210825.0,8473837.0,212052.0,4807909.0,13281746.0,210825,8473837,212052,4807909,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,6.0,0.0,4.0,0.0,4.0,0.0,10.0,8,5,13,0,4,0,4,0,17,16.0,13.0,25.0,4.0,0.0,1.0,1.0,0.0,30.0,10.0,9.0,19.0,0.0,5.0,1.0,6.0,0.0,25.0,26,22,44,4,5,2,7,0,55,1199272.0,1734197.0,2933469.0,1199272,1734197,2933469,10221134.0,17505806.0,27726940.0,10221134,17505806,27726940,263,241,42645840,41292900,147413201,125832608,4,28.30370798458243,-9.629718037086676,Auburn University
8,6,630,652,1282,2,0.0,0.0,0,0,0,43294.0,18885.0,62179,51952.0,39094.0,9.0,9.0,62342.0,46913.0,7.5,7.5,24919.0,21377.0,14.0,9.0,30873.0,30539.0,11.3,6.3,444.0,270.0,444,270,20771.0,600676.0,26607.0,418761.0,1019437.0,20771,600676,26607,418761,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,6.0,0.0,3.0,0.0,3.0,0.0,9.0,9,6,15,0,3,0,3,0,18,8.0,4.0,9.0,3.0,0.0,2.0,1.0,1.0,14.0,1.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,9.0,9,6,11,4,4,4,6,2,23,1056139.0,950298.0,2006437.0,1056139,950298,2006437,1056139.0,950298.0,2006437.0,1056139,950298,2006437,302,150,1470976,1470976,4464273,4464273,2,2.141207442951527,0.5938823229298171,Birmingham Southern College
9,12,387,473,860,4,314712.0,294624.0,609336,52,48,2000.0,2000.0,4000,29209.0,20772.0,2.0,2.0,58418.0,41544.0,1.0,1.0,10465.0,10465.0,2.0,2.0,20930.0,20930.0,1.0,1.0,47.0,44.0,47,44,6135.0,153743.0,4622.0,101733.0,255476.0,6135,153743,4622,101733,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0,4,2,2,0,0,0,0,4,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0,4,1,3,0,0,0,0,4,476649.0,298167.0,774816.0,476649,298167,774816,476649.0,298167.0,774816.0,476649,298167,774816,47,44,61876,61876,1342997,1342997,0,-6.25229136273624,-5.047052110064735,Chattahoochee Valley Community College
