,classificationcode,exp,opexpperpart,opexpperteam,partic,rev,PC1,PC2,university,gender
4,12,166082.0,756.0,20413.0,27.0,166082.0,-0.7725676579089021,1.3470742241654976,ASA College,men
5,12,104302.0,1257.0,20110.0,16.0,104302.0,-0.8958293334584437,-0.1449282840380142,ASA College,women
16,2,1143099.0,23106.0,369690.0,16.0,1143099.0,1.2286099702970705,0.4400153232165287,Abilene Christian University,men
17,2,1048516.0,26563.0,318755.0,12.0,1048516.0,1.1458628689721735,-0.10652584817496966,Abilene Christian University,women
44,5,631203.0,5076.0,81217.0,16.0,631203.0,-0.05001257682873243,0.38558688808885994,Academy of Art University,men
45,5,765206.0,9236.0,129305.0,14.0,765206.0,0.1694837866955298,0.06768881674480152,Academy of Art University,women
60,4,401891.0,3488.0,87196.0,25.0,401891.0,-0.061452620190442175,1.7255166168467346,Adams State University,men
61,4,438709.0,2234.0,84881.0,38.0,438709.0,0.045780753142449004,3.4965883754759473,Adams State University,women
80,5,733322.0,6196.0,111528.0,18.0,733322.0,0.09324153223167542,0.63573696632205,Adelphi University,men
81,5,468054.0,6000.0,77997.0,13.0,468054.0,-0.1480060645735653,-0.012152359062496435,Adelphi University,women
108,14,28304.0,1142.0,15985.0,14.0,28304.0,-1.0741410439573187,-0.5833984714046198,Adirondack Community College,men
109,14,23430.0,1378.0,16537.0,12.0,23430.0,-1.088937758648755,-0.8562394089257394,Adirondack Community College,women
128,6,105385.0,1073.0,26817.0,25.0,105385.0,-0.4745338807576238,1.6030768945808764,Adrian College,men
129,6,116305.0,1750.0,34993.0,20.0,116305.0,-0.4872087043421449,0.917103568532999,Adrian College,women
158,2,824939.0,15111.0,226663.0,15.0,824939.0,0.6552318888267248,0.40753882955819815,Alabama A & M University,men
159,2,869729.0,15096.0,226433.0,15.0,869729.0,0.6783889140515816,0.4035798800471116,Alabama A & M University,women
176,13,274139.0,3464.0,72734.0,21.0,274139.0,-0.6862984155412915,0.40849590104385775,Alabama Southern Community College,men
177,13,238368.0,3123.0,49960.0,16.0,238368.0,-0.7928704700464646,-0.26143356092287806,Alabama Southern Community College,women
184,2,815998.0,5384.0,86146.0,16.0,815998.0,0.2287325877377771,0.6285964369136582,Alabama State University,men
185,2,716876.0,4112.0,69906.0,17.0,716876.0,0.1319848111961077,0.7841743210658615,Alabama State University,women
200,20,36975.0,1355.0,21675.0,16.0,36975.0,-1.369845328411618,-0.8400511620657013,Albany College of Pharmacy and Health Sciences,men
201,20,48880.0,3358.0,33580.0,10.0,48880.0,-1.3552058700553697,-1.6706926315041342,Albany College of Pharmacy and Health Sciences,women
210,4,174711.0,2476.0,37142.0,15.0,174711.0,-0.37167712726762986,0.4026894970181352,Albany State University,men
211,4,181742.0,2039.0,36704.0,18.0,181742.0,-0.35096654214620354,0.8124077881573621,Albany State University,women
