,institution_name,classificationcode,sports,gender,exp,opexpperpart,opexpperteam,partic,rev
0,ASA College,12,All Track Combined,men,103912.0,621.0,17397.0,28.0,103912.0
1,ASA College,12,All Track Combined,women,0.0,0.0,0.0,0.0,0.0
2,ASA College,12,Baseball,men,228131.0,1013.0,64817.0,64.0,228131.0
3,ASA College,12,Baseball,women,0.0,0.0,0.0,0.0,0.0
4,ASA College,12,Basketball,men,166082.0,756.0,20413.0,27.0,166082.0
5,ASA College,12,Basketball,women,104302.0,1257.0,20110.0,16.0,104302.0
6,ASA College,12,Football,men,681680.0,1161.0,175277.0,151.0,681680.0
7,ASA College,12,Football,women,0.0,0.0,0.0,0.0,0.0
8,ASA College,12,Soccer,men,118517.0,279.0,13685.0,49.0,118517.0
9,ASA College,12,Soccer,women,146689.0,616.0,18475.0,30.0,146689.0
10,ASA College,12,Tennis,men,170963.0,464.0,15786.0,34.0,170963.0
11,ASA College,12,Tennis,women,139509.0,1660.0,16600.0,10.0,139509.0
12,Abilene Christian University,2,All Track Combined,men,538298.0,1797.0,132944.0,74.0,538298.0
13,Abilene Christian University,2,All Track Combined,women,562967.0,1751.0,122544.0,70.0,562967.0
14,Abilene Christian University,2,Baseball,men,891207.0,7758.0,271534.0,35.0,891207.0
15,Abilene Christian University,2,Baseball,women,0.0,0.0,0.0,0.0,0.0
16,Abilene Christian University,2,Basketball,men,1143099.0,23106.0,369690.0,16.0,1143099.0
17,Abilene Christian University,2,Basketball,women,1048516.0,26563.0,318755.0,12.0,1048516.0
18,Abilene Christian University,2,Football,men,3867984.0,5832.0,664798.0,114.0,3867984.0
19,Abilene Christian University,2,Football,women,0.0,0.0,0.0,0.0,0.0
20,Abilene Christian University,2,Golf,men,384518.0,9779.0,136907.0,14.0,384518.0
21,Abilene Christian University,2,Golf,women,0.0,0.0,0.0,0.0,0.0
22,Abilene Christian University,2,Soccer,men,0.0,0.0,0.0,0.0,0.0
23,Abilene Christian University,2,Soccer,women,606147.0,4407.0,110175.0,25.0,606147.0
24,Abilene Christian University,2,Softball,men,0.0,0.0,0.0,0.0,0.0
25,Abilene Christian University,2,Softball,women,740672.0,9952.0,208986.0,21.0,740672.0
26,Abilene Christian University,2,Tennis,men,323367.0,7644.0,76438.0,10.0,323367.0
27,Abilene Christian University,2,Tennis,women,393822.0,7927.0,63418.0,8.0,393822.0
28,Abilene Christian University,2,Volleyball,men,0.0,0.0,0.0,0.0,0.0
29,Abilene Christian University,2,Volleyball,women,615878.0,8451.0,126763.0,15.0,615878.0
30,Abraham Baldwin Agricultural College,12,Baseball,men,149436.0,2336.0,56056.0,24.0,149436.0
31,Abraham Baldwin Agricultural College,12,Baseball,women,0.0,0.0,0.0,0.0,0.0
32,Abraham Baldwin Agricultural College,12,Golf,men,52510.0,4011.0,28074.0,7.0,52510.0
33,Abraham Baldwin Agricultural College,12,Golf,women,0.0,0.0,0.0,0.0,0.0
34,Abraham Baldwin Agricultural College,12,Soccer,men,0.0,0.0,0.0,0.0,0.0
35,Abraham Baldwin Agricultural College,12,Soccer,women,81852.0,955.0,21008.0,22.0,81852.0
36,Abraham Baldwin Agricultural College,12,Softball,men,0.0,0.0,0.0,0.0,0.0
