,classificationcode,exp,opexpperpart,opexpperteam,partic,rev,PC1,PC2,university,gender
102,5,86534.0,3477.0,62590.0,18.0,86534.0,5.059589968264817,1.909463974437403,Adelphi University,men
103,5,68559.0,3477.0,48681.0,14.0,68559.0,3.8962319348329055,2.0311863820044698,Adelphi University,women
120,14,4358.0,321.0,2246.0,7.0,4358.0,-1.6957908588055304,0.23596684583680028,Adirondack Community College,men
121,14,4258.0,1123.0,2246.0,2.0,4258.0,-1.5540022542839487,1.3030852049706871,Adirondack Community College,women
206,20,22917.0,1086.0,7602.0,7.0,22917.0,-1.112128651630056,1.4507002858160618,Albany College of Pharmacy and Health Sciences,men
207,20,22917.0,1086.0,13032.0,12.0,22917.0,-0.6272488838040753,1.10696195687388,Albany College of Pharmacy and Health Sciences,women
222,4,25615.0,584.0,4089.0,7.0,25615.0,-0.5751867953323898,-0.45426610922671823,Albany State University,men
223,4,24622.0,463.0,3240.0,7.0,24622.0,-0.6880320106885881,-0.5628019821925577,Albany State University,women
268,6,59229.0,629.0,17606.0,28.0,59229.0,1.468999636801005,-1.8887664855260062,Albion College,men
269,6,61277.0,809.0,17790.0,22.0,61277.0,1.33486402218923,-1.2167642958778415,Albion College,women
296,6,7538.0,278.0,2782.0,10.0,7538.0,-1.060908657959502,-0.7803487467964065,Albright College,men
297,6,7212.0,516.0,2580.0,5.0,7212.0,-1.1849461470166278,-0.15594898860225262,Albright College,women
316,2,99588.0,2885.0,20192.0,7.0,99588.0,2.599091009304069,1.3656059042383464,Alcorn State University,men
317,2,132594.0,2885.0,17307.0,6.0,132594.0,2.963320518383158,1.3642777566658577,Alcorn State University,women
368,6,8110.0,255.0,2545.0,10.0,8110.0,-1.0734264704366783,-0.8032147580386174,Alfred University,men
369,6,8830.0,408.0,3265.0,8.0,8830.0,-1.0432114668875923,-0.49485974233720087,Alfred University,women
382,10,7120.0,372.0,2232.0,6.0,7897.0,-1.4413958176279325,-0.0018729085649174975,Alice Lloyd College,men
383,10,7120.0,372.0,2232.0,6.0,7897.0,-1.4413958176279325,-0.0018729085649174975,Alice Lloyd College,women
400,17,0.0,0.0,0.0,0.0,0.0,-2.4915062139313386,0.8406778321410086,Allan Hancock College,men
401,17,14278.0,118.0,1178.0,10.0,14278.0,-1.7122032343750069,0.05315800850611284,Allan Hancock College,women
416,13,4915.0,265.0,2118.0,8.0,4915.0,-1.6192231281934695,0.010484506503015713,Allegany College of Maryland,men
417,13,4910.0,424.0,2118.0,5.0,4910.0,-1.6772010728114668,0.3997269956702539,Allegany College of Maryland,women
498,13,31035.0,491.0,4415.0,9.0,31035.0,-0.9252830088406645,0.11014598943327235,Alpena Community College,men
499,13,0.0,0.0,0.0,0.0,0.0,-2.2687800217492953,0.47889854826535005,Alpena Community College,women
572,17,57571.0,416.0,9149.0,22.0,57571.0,0.05530475160480613,-0.6806539966591443,American River College,men
573,17,64898.0,1119.0,10069.0,9.0,64898.0,-0.02133453854354892,1.0253395211610201,American River College,women
724,6,6836.0,526.0,2629.0,5.0,6836.0,-1.1843145207463754,-0.1468440467185266,Anna Maria College,men
725,6,6836.0,376.0,2629.0,7.0,6836.0,-1.1653786980711138,-0.44060748852908344,Anna Maria College,women
740,14,0.0,0.0,0.0,0.0,0.0,-2.324461569794806,0.5693433692342647,Anne Arundel Community College,men
741,14,8826.0,611.0,4885.0,8.0,10101.0,-1.306849126365352,0.4148166390939792,Anne Arundel Community College,women
772,17,17434.0,1300.0,12998.0,10.0,17434.0,-0.5437083546361297,1.1848398614865645,Antelope Valley College,men
773,17,17124.0,188.0,940.0,5.0,17124.0,-1.860178445244163,0.5424507648851571,Antelope Valley College,women
824,10,144174.0,588.0,17640.0,30.0,151659.0,2.7951705580257986,-1.839841042266389,Aquinas College,men
825,10,147095.0,706.0,16249.0,23.0,151410.0,2.5001811232445954,-1.153729984695941,Aquinas College,women
846,7,13482.0,632.0,5684.0,9.0,13482.0,-0.7579394460480311,-0.2797598285660374,Arcadia University,men
847,7,16204.0,503.0,8547.0,17.0,16204.0,-0.28397899614329253,-1.039055160698989,Arcadia University,women
964,4,0.0,0.0,0.0,0.0,0.0,-1.767646089339697,-0.335104840454882,Arkansas Tech University,men
965,4,129399.0,1961.0,25495.0,13.0,129399.0,3.0937504417098607,0.35847725503858524,Arkansas Tech University,women
990,10,13650.0,662.0,10590.0,16.0,13650.0,-0.363989465921227,-0.5154258292413537,Asbury University,men
991,10,15136.0,1111.0,11107.0,10.0,15136.0,-0.3707470958113659,0.37278675056567784,Asbury University,women
1086,5,86160.0,2088.0,16706.0,8.0,86160.0,1.7215550349012894,0.8796192198872153,Auburn University at Montgomery,men
1087,5,119081.0,1336.0,13362.0,10.0,119081.0,1.8544692520401065,0.018921660645328003,Auburn University at Montgomery,women
1198,6,66561.0,323.0,12283.0,38.0,67659.0,1.6288882382112826,-3.1179119695138464,Aurora University,men
1199,6,57643.0,506.0,13161.0,26.0,58741.0,1.0897677408117856,-1.8877637897834976,Aurora University,women
1238,2,192428.0,958.0,9579.0,10.0,192428.0,2.8881973895471837,-0.6986676795485457,Austin Peay State University,men
1239,2,0.0,0.0,0.0,0.0,0.0,-1.6562829932486751,-0.5159944823927112,Austin Peay State University,women
1258,10,110974.0,1923.0,26916.0,14.0,102618.0,2.4792646692821023,0.8390495474588734,Ave Maria University,men
1259,10,81803.0,536.0,10176.0,19.0,84814.0,0.8501890504703693,-0.9670785020593031,Ave Maria University,women
1276,6,10497.0,594.0,5938.0,10.0,10497.0,-0.713428299581211,-0.4802715048431649,Averett University,men
1277,6,10497.0,594.0,5938.0,10.0,10497.0,-0.713428299581211,-0.4802715048431649,Averett University,women
1404,17,52168.0,296.0,5032.0,17.0,56680.0,-0.4704394991924313,-0.4054354488357174,Bakersfield College,men
1405,17,53009.0,467.0,5604.0,12.0,57521.0,-0.5664619346816226,0.17950548291937013,Bakersfield College,women
1460,12,16088.0,571.0,3425.0,6.0,16088.0,-1.2613846639306694,0.34637534893419203,Baltimore City Community College,men
1461,12,0.0,0.0,0.0,0.0,0.0,-2.213098473703784,0.38845372729643535,Baltimore City Community College,women
1474,16,7289.0,560.0,2801.0,5.0,7289.0,-1.709828387552204,0.7866962429273673,Barclay College,men
1475,16,7289.0,560.0,2801.0,5.0,7289.0,-1.709828387552204,0.7866962429273673,Barclay College,women
1494,7,13011.0,667.0,7336.0,11.0,13011.0,-0.582060683042093,-0.39889941965441256,Bard College,men
1495,7,14767.0,758.0,9092.0,12.0,14767.0,-0.3818148609125534,-0.38659320075474213,Bard College,women
1660,6,44312.0,2260.0,18077.0,8.0,47939.0,1.1429639460381795,1.1723380484528962,Belhaven University,men
1661,6,32555.0,2260.0,15818.0,7.0,36191.0,0.791595163203812,1.2331088237080259,Belhaven University,women
1738,5,26415.0,745.0,6707.0,9.0,26415.0,-0.329455010920039,-0.3687215383290507,Belmont Abbey College,men
1739,5,23954.0,645.0,7093.0,11.0,23954.0,-0.3100435969090838,-0.6137418903333479,Belmont Abbey College,women
1800,4,0.0,0.0,0.0,0.0,0.0,-1.767646089339697,-0.335104840454882,Bemidji State University,men
